VT_1,VT_2,VT_3,VT_4,VT_5,VT_6,VT_7,VT_8,VT_9,VT_10,VT_11,VT_12,VT_13,VT_14,VT_15,VT_16,VT_17,VT_18,VT_19,VT_20,VT_21,VT_22,VT_23,VT_24,VT_25,VT_26,VT_27,VT_28,VT_29,VT_30,VT_31,VT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
-0.76412,-0.76412,-0.95993,0.05503,0.53012,1.18143,0.92159,0.55007,0.27537,0.00099,-1.08731,-1.91439,-2.81544,-1.7091,-0.51888,-1.34532,-1.60437,1.86315,3.18422,4.06039,4.70137,4.61397,4.64868,4.66467,4.90454,4.92853,3.70792,1.24099,-1.29447,-2.59005,-2.69629,-2.69629,40.21813,2.35988,48.85558,18.25167,653031.595,6861917.249,35.09000
-0.68867,-0.68867,-0.85717,-0.00136,0.45047,1.09868,0.80847,0.50479,0.25634,0.01486,-1.07142,-1.89842,-2.72611,-1.70711,-0.50368,-1.35128,-1.59932,1.9287,3.19334,4.07711,4.66558,4.61258,4.63422,4.67351,4.92355,4.91298,3.68914,1.23259,-1.28721,-2.59424,-2.71376,-2.71376,42.26577,2.36842,48.85557,17.69111,653658.19,6861911.091,37.90000
-0.78127,-0.78127,-0.78435,0.03821,0.49966,1.07046,0.75849,0.49505,0.23112,-0.00027,-1.06256,-1.90779,-2.63047,-1.63583,-0.47544,-1.36719,-1.55326,2.00614,3.19604,4.05757,4.65885,4.62435,4.6041,4.68013,4.94476,4.89767,3.6782,1.22086,-1.28743,-2.59691,-2.73044,-2.73044,43.14012,2.37695,48.85556,16.05833,654284.052,6861905.007,35.59000
-1.05436,-1.05436,-1.12434,-0.1226,0.71522,1.05497,1.15546,0.96938,0.21839,0.17914,-1.19507,-1.9408,-2.57957,-1.42608,-0.71143,-1.3678,-1.54873,2.11301,3.12695,4.24368,4.78651,4.49258,4.61314,4.66061,5.01131,5.04253,3.76156,1.20813,-1.35451,-2.52734,-2.61,-2.61,45.19382,2.30867,48.85002,22.76,649268.773,6861330.709,36.40000
-0.88205,-0.88205,-1.16349,-0.10324,0.64031,1.0332,1.11036,0.9205,0.13766,0.15695,-1.28703,-1.85082,-2.60968,-1.47766,-0.69635,-1.35518,-1.59066,2.13495,3.1422,4.18276,4.79595,4.52752,4.64289,4.65743,4.98404,5.00819,3.74107,1.22335,-1.34786,-2.55048,-2.62249,-2.62249,48.63168,2.3172,48.85001,17.38833,649894.697,6861324.151,35.00000
-0.93967,-0.93967,-1.14484,0.10517,0.65502,1.0311,1.09176,0.88474,0.11973,0.15778,-1.42987,-1.80155,-2.63027,-1.42418,-0.72334,-1.33629,-1.5777,2.08154,3.1544,4.10341,4.79119,4.56373,4.66611,4.66079,4.95784,4.988,3.73244,1.23811,-1.34453,-2.56848,-2.637,-2.637,51.77679,2.32573,48.85,19.865,650520.621,6861317.66,36.90000
-1.00381,-1.00381,-0.95211,0.12772,0.59098,1.04206,1.05005,0.79591,0.05869,0.21636,-1.49303,-1.72667,-2.65293,-1.41836,-0.70232,-1.30439,-1.59421,1.99539,3.15584,4.05117,4.7643,4.59162,4.67076,4.66436,4.94216,4.96504,3.71286,1.24043,-1.33653,-2.57957,-2.65393,-2.65393,53.8506,2.33427,48.85,15.22,651147.29,6861312.343,38.70000
-0.9016,-0.9016,-0.74706,0.21451,0.59276,1.03821,1.04171,0.72597,0.04295,0.26358,-1.47119,-1.74165,-2.71581,-1.5178,-0.64735,-1.28957,-1.57883,1.96547,3.16311,4.05502,4.69708,4.61606,4.66247,4.66446,4.93177,4.93574,3.70675,1.23564,-1.33068,-2.58739,-2.67117,-2.67117,57.23347,2.3428,48.84999,19.9225,651773.216,6861305.987,40.00000
-0.80654,-0.80654,-0.823,-0.00883,0.47811,1.03649,1.05133,0.71259,0.04089,0.23706,-1.32709,-1.81143,-2.75119,-1.6026,-0.5756,-1.28903,-1.56784,1.89588,3.17109,4.08113,4.67109,4.61388,4.67138,4.6681,4.9182,4.91907,3.69767,1.2271,-1.32022,-2.5909,-2.69034,-2.69034,49.64919,2.35133,48.84998,19.03333,652399.143,6861299.7,34.00000
-0.77428,-0.77428,-0.75213,0.11259,0.4016,1.00002,1.08461,0.75807,0.07591,0.10577,-1.20362,-1.85461,-2.75603,-1.66977,-0.57909,-1.28831,-1.60374,1.86844,3.19166,4.08319,4.65317,4.60935,4.68333,4.68822,4.90938,4.90904,3.69027,1.22414,-1.30564,-2.58878,-2.71029,-2.71029,38.85341,2.35987,48.84996,18.885,653025.795,6861292.361,34.79000
-0.86596,-0.86596,-0.76353,-0.04292,0.31127,1.00465,1.08286,0.71754,0.04334,0.00622,-1.1131,-1.87723,-2.68196,-1.6795,-0.54016,-1.28274,-1.60115,1.9455,3.17239,4.0941,4.63532,4.60179,4.67714,4.69865,4.91655,4.90367,3.67041,1.21263,-1.30085,-2.59201,-2.72683,-2.72683,38.01607,2.3684,48.84995,17.22333,653651.724,6861286.209,36.50000
-0.76237,-0.76237,-0.68554,0.07338,0.22076,0.86276,1.07764,0.76744,0.05101,-0.08846,-1.0066,-1.9116,-2.58811,-1.60581,-0.49179,-1.30153,-1.54706,1.99598,3.1419,4.06962,4.64458,4.61917,4.65568,4.6945,4.92722,4.89701,3.66379,1.20005,-1.30002,-2.59715,-2.74197,-2.74197,41.00097,2.37693,48.84994,18.9775,654277.653,6861280.124,34.09000
