UT_1,UT_2,UT_3,UT_4,UT_5,UT_6,UT_7,UT_8,UT_9,UT_10,UT_11,UT_12,UT_13,UT_14,UT_15,UT_16,UT_17,UT_18,UT_19,UT_20,UT_21,UT_22,UT_23,UT_24,UT_25,UT_26,UT_27,UT_28,UT_29,UT_30,UT_31,UT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
-1.14383,-1.14383,-1.55023,-4.46119,-6.70089,-6.1818,-4.81449,-3.67146,-2.455,-1.19756,0.61534,2.53408,2.75873,2.82153,4.54552,5.31076,3.22843,0.89235,1.0938,-0.67135,-1.32832,-1.82863,-1.82732,-2.3624,-3.32294,-4.38076,-4.91492,-4.99263,-5.23984,-5.10012,-3.8629,-3.8629,45.19382,2.30439,48.84722,22.76,648951.963,6861022.136,36.70000
-1.07054,-1.07054,-1.44346,-4.83245,-6.7706,-6.1362,-4.72228,-3.66579,-2.41128,-1.15502,0.61418,2.60685,2.74285,2.74796,4.53068,5.33036,3.22899,0.8717,1.12189,-0.64306,-1.33521,-1.86024,-1.91641,-2.35957,-3.27231,-4.34383,-4.9056,-5.01849,-5.27149,-5.09018,-3.87448,-3.87448,48.63168,2.31293,48.84721,17.38833,649578.654,6861015.537,35.70000
-1.29666,-1.29666,-1.57934,-5.16535,-6.6916,-6.05465,-4.70281,-3.64442,-2.43197,-1.10736,0.64976,2.6682,2.68182,2.74339,4.53898,5.34569,3.21159,0.85206,1.10096,-0.58205,-1.35585,-1.8531,-2.00551,-2.37924,-3.23877,-4.30088,-4.88325,-5.05041,-5.3052,-5.08589,-3.88124,-3.88124,51.77679,2.32146,48.8472,19.865,650204.612,6861009.012,40.40000
-1.33197,-1.33197,-1.83973,-5.5124,-6.63557,-5.93527,-4.66535,-3.62419,-2.39626,-1.09472,0.64647,2.72515,2.60795,2.76081,4.5428,5.36612,3.2094,0.8286,1.05775,-0.56779,-1.36255,-1.80929,-2.05798,-2.41274,-3.22762,-4.26472,-4.86872,-5.06544,-5.34193,-5.08537,-3.88837,-3.88837,53.8506,2.32999,48.84719,15.22,650830.57,6861002.555,41.09000
-1.44837,-1.44837,-2.35776,-5.82795,-6.53988,-5.86793,-4.65821,-3.54595,-2.36198,-1.07331,0.63453,2.7404,2.58183,2.77616,4.58623,5.37701,3.12061,0.8922,0.9712,-0.54279,-1.42022,-1.74439,-2.08286,-2.4423,-3.23073,-4.24188,-4.84253,-5.0758,-5.36942,-5.08912,-3.89565,-3.89565,57.23347,2.33853,48.84718,19.9225,651457.264,6860996.159,47.00000
-1.39279,-1.39279,-2.35966,-5.86747,-6.48032,-5.88894,-4.78063,-3.58876,-2.35596,-1.03705,0.58507,2.6902,2.5824,2.81252,4.62322,5.40395,3.0726,0.93437,0.91694,-0.53743,-1.47308,-1.73073,-2.08994,-2.44388,-3.23019,-4.22416,-4.81709,-5.0697,-5.40153,-5.10097,-3.89759,-3.89759,49.64919,2.34706,48.84717,19.03333,652083.224,6860989.837,53.79000
-1.29813,-1.29813,-1.97166,-5.69735,-6.44235,-5.95551,-4.94171,-3.70944,-2.41009,-1.1126,0.57783,2.62062,2.59889,2.87659,4.64544,5.40817,3.05838,0.98383,0.90641,-0.53889,-1.44782,-1.77509,-2.12203,-2.45822,-3.23458,-4.19924,-4.78223,-5.05083,-5.42971,-5.13946,-3.89011,-3.89011,38.85341,2.35559,48.84716,18.885,652709.185,6860983.583,38.50000
-1.33673,-1.33673,-2.0181,-5.83028,-6.48663,-5.92821,-4.94751,-3.67818,-2.36599,-1.16126,0.57928,2.60993,2.61918,2.91895,4.62904,5.42567,3.10474,1.01514,0.9349,-0.58459,-1.38714,-1.7459,-2.16127,-2.51805,-3.26349,-4.17444,-4.74949,-5.01823,-5.45667,-5.18439,-3.87652,-3.87652,38.01607,2.36413,48.84715,17.22333,653335.881,6860977.39,27.10000
-1.33474,-1.33474,-2.50366,-5.9368,-6.49404,-5.92396,-4.91892,-3.65267,-2.33136,-1.13808,0.62142,2.56526,2.6479,2.96612,4.63208,5.45183,3.14837,0.99458,0.98809,-0.61776,-1.42545,-1.68653,-2.16385,-2.57309,-3.2913,-4.16386,-4.73274,-4.98428,-5.46868,-5.22266,-3.87209,-3.87209,41.00097,2.37266,48.84714,18.9775,653961.844,6860971.271,32.90000
-1.31611,-1.31611,-1.78966,-5.15215,-6.78521,-6.26656,-4.84022,-3.78229,-2.67356,-1.3059,0.72283,2.54087,2.6888,2.85536,4.56511,5.25898,3.16948,0.86671,1.11469,-0.64733,-1.31815,-1.8701,-1.87769,-2.37071,-3.31613,-4.37697,-4.91615,-5.01586,-5.26987,-5.09803,-3.87227,-3.87227,51.74225,2.30438,48.8416,17.80833,648945.724,6860397.258,39.29000
-1.311,-1.311,-1.88623,-5.52249,-6.90314,-6.17995,-4.72042,-3.6911,-2.55296,-1.23716,0.63252,2.57629,2.69172,2.8857,4.58731,5.27332,3.13225,0.85361,1.08853,-0.61332,-1.2981,-1.89866,-1.96432,-2.38022,-3.27811,-4.34357,-4.90708,-5.04148,-5.29511,-5.09297,-3.88215,-3.88215,59.08255,2.31291,48.84159,19.35556,649571.749,6860390.664,48.50000
-1.39835,-1.39835,-2.07239,-5.53055,-6.85967,-6.16615,-4.66768,-3.63387,-2.53183,-1.14247,0.57365,2.62919,2.70127,2.88494,4.63112,5.27374,3.06755,0.83385,1.02351,-0.55501,-1.30322,-1.88071,-2.04474,-2.40548,-3.24872,-4.30661,-4.88221,-5.06646,-5.32943,-5.08972,-3.88831,-3.88831,60.82822,2.32145,48.84159,16.72667,650198.517,6860385.244,52.59000
-1.27976,-1.27976,-2.26147,-5.77746,-6.81951,-6.0704,-4.63259,-3.61251,-2.50507,-1.07282,0.50698,2.67661,2.70523,2.8328,4.65684,5.28381,3.03022,0.83717,0.96942,-0.56881,-1.32954,-1.8309,-2.07794,-2.43067,-3.23381,-4.27017,-4.86456,-5.0803,-5.3666,-5.09258,-3.89432,-3.89432,60.40923,2.32998,48.84158,17.99111,650824.543,6860378.786,52.70000
-1.36009,-1.36009,-2.63172,-5.70674,-6.71485,-6.05914,-4.6368,-3.60352,-2.53932,-1.00136,0.43785,2.67473,2.72313,2.75356,4.66716,5.29133,3.00456,0.89577,0.91946,-0.56486,-1.41536,-1.77165,-2.08348,-2.45268,-3.22793,-4.24107,-4.84159,-5.08159,-5.39409,-5.10105,-3.90152,-3.90152,58.35671,2.33851,48.84157,18.275,651450.57,6860372.396,52.90000
-1.48505,-1.48505,-2.71248,-5.8333,-6.63704,-6.0433,-4.7126,-3.61761,-2.49329,-0.91297,0.26517,2.64519,2.67901,2.71356,4.69177,5.33428,2.99223,0.92166,0.88561,-0.52092,-1.47523,-1.77017,-2.09171,-2.45174,-3.23236,-4.22745,-4.81705,-5.06663,-5.41943,-5.11769,-3.90261,-3.90261,50.14018,2.34704,48.84156,17.00778,652076.598,6860366.073,52.50000
-1.5894,-1.5894,-2.72357,-5.5603,-6.57875,-6.11017,-4.7909,-3.66149,-2.45895,-0.87045,0.21784,2.63464,2.6556,2.7163,4.68827,5.34495,3.01384,0.97004,0.89042,-0.5342,-1.44956,-1.77754,-2.13503,-2.47791,-3.24488,-4.20962,-4.79077,-5.04484,-5.44427,-5.15529,-3.89292,-3.89292,42.34183,2.35558,48.84155,15.71667,652703.36,6860359.812,35.70000
-1.69116,-1.69116,-2.89253,-5.6271,-6.47812,-6.03437,-4.92029,-3.74385,-2.43718,-0.92507,0.31592,2.64652,2.63794,2.71319,4.64861,5.36362,3.10173,0.99252,0.96038,-0.6132,-1.38688,-1.73594,-2.17159,-2.5358,-3.27839,-4.19333,-4.75825,-5.01673,-5.47096,-5.19847,-3.87995,-3.87995,36.67292,2.36411,48.84154,15.38889,653329.39,6860353.625,34.29000
-1.75058,-1.75058,-3.25785,-5.64862,-6.50698,-6.01889,-4.86892,-3.69872,-2.3582,-1.00162,0.45776,2.65383,2.65825,2.76306,4.59864,5.40492,3.17341,0.94827,1.02086,-0.63976,-1.40625,-1.68371,-2.16889,-2.58015,-3.31021,-4.18671,-4.73795,-4.98794,-5.48074,-5.23387,-3.87588,-3.87588,39.73493,2.37264,48.84152,15.25667,653955.411,6860346.393,32.90000
