UT_1,UT_2,UT_3,UT_4,UT_5,UT_6,UT_7,UT_8,UT_9,UT_10,UT_11,UT_12,UT_13,UT_14,UT_15,UT_16,UT_17,UT_18,UT_19,UT_20,UT_21,UT_22,UT_23,UT_24,UT_25,UT_26,UT_27,UT_28,UT_29,UT_30,UT_31,UT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y
-2.034540000000000,-2.034540000000000,-2.419830000000000,-5.330850000000000,-6.237090000000000,-5.384350000000000,-4.318480000000000,-3.140160000000000,-1.963560000000000,-0.942020000000000,0.826020000000000,2.535710000000000,2.471830000000000,3.265600000000000,5.004170000000000,5.679620000000000,3.500210000000000,0.857010000000000,1.213560000000000,-0.660620000000000,-1.408300000000000,-1.324560000000000,-1.943950000000000,-2.353550000000000,-3.229070000000000,-4.270480000000000,-4.744020000000000,-4.777730000000000,-5.122700000000000,-4.960340000000000,-3.816980000000000,-3.880070000000000,31.377739999999999,2.304540000000000,48.920209999999997,999.000000000000000,649034.454,6869138.048
-2.062490000000000,-2.062490000000000,-2.596470000000000,-5.314600000000000,-6.323120000000000,-5.249110000000000,-4.254900000000000,-3.114930000000000,-1.990740000000000,-0.867360000000000,0.785430000000000,2.564770000000000,2.527050000000000,3.241590000000000,4.984730000000000,5.686270000000000,3.515510000000000,0.982680000000000,1.258140000000000,-0.729370000000000,-1.434420000000000,-1.369880000000000,-1.988030000000000,-2.362850000000000,-3.152760000000000,-4.211760000000000,-4.733030000000000,-4.753650000000000,-5.159030000000000,-4.999750000000000,-3.796520000000000,-3.859700000000000,31.814150000000001,2.313090000000000,48.920209999999997,999.000000000000000,649661.010,6869132.563
-1.924030000000000,-1.924030000000000,-3.315910000000000,-5.678760000000000,-6.283080000000000,-5.291010000000000,-4.106100000000000,-3.021440000000000,-2.019270000000000,-0.833430000000000,0.761510000000000,2.521610000000000,2.448110000000000,3.272430000000000,5.026830000000000,5.699590000000000,3.524140000000000,1.025900000000000,1.250760000000000,-0.753840000000000,-1.455250000000000,-1.479820000000000,-2.067560000000000,-2.355800000000000,-3.101050000000000,-4.135680000000000,-4.708780000000000,-4.721600000000000,-5.170650000000000,-5.031980000000000,-3.791350000000000,-3.854610000000000,33.113039999999998,2.321630000000000,48.920200000000001,999.000000000000000,650286.823,6869126.041
-2.227950000000000,-2.227950000000000,-3.091870000000000,-5.747920000000000,-6.423950000000000,-5.073290000000000,-4.033350000000000,-2.924570000000000,-1.986650000000000,-0.739570000000000,0.686940000000000,2.569360000000000,2.543240000000000,3.192400000000000,5.010090000000000,5.696520000000000,3.558740000000000,1.009740000000000,1.219070000000000,-0.736770000000000,-1.455490000000000,-1.607340000000000,-2.115870000000000,-2.311290000000000,-3.083710000000000,-4.116450000000000,-4.683330000000000,-4.711610000000000,-5.172810000000000,-5.048750000000000,-3.796410000000000,-3.859760000000000,34.798560000000002,2.330180000000000,48.920189999999998,999.000000000000000,650913.371,6869119.580
-2.206480000000000,-2.206480000000000,-3.383450000000000,-5.784730000000000,-6.340030000000000,-5.167580000000000,-4.003890000000000,-2.896350000000000,-1.987920000000000,-0.709580000000000,0.659250000000000,2.563320000000000,2.453460000000000,3.274000000000000,5.014470000000000,5.732200000000000,3.558080000000000,0.946290000000000,1.203600000000000,-0.694190000000000,-1.506890000000000,-1.631380000000000,-2.094650000000000,-2.322430000000000,-3.077930000000000,-4.144500000000000,-4.693820000000000,-4.716240000000000,-5.165050000000000,-5.058890000000000,-3.807140000000000,-3.870550000000000,36.339039999999997,2.338720000000000,48.920180000000002,999.000000000000000,651539.186,6869113.193
-2.195690000000000,-2.195690000000000,-3.054300000000000,-5.770610000000000,-6.383800000000000,-5.008890000000000,-4.015830000000000,-2.844610000000000,-1.984250000000000,-0.808480000000000,0.674090000000000,2.583140000000000,2.495310000000000,3.218030000000000,5.014830000000000,5.754010000000000,3.566000000000000,0.863080000000000,1.222680000000000,-0.685670000000000,-1.556800000000000,-1.566840000000000,-2.038470000000000,-2.346560000000000,-3.090870000000000,-4.205340000000000,-4.721240000000000,-4.753630000000000,-5.173880000000000,-5.056130000000000,-3.819610000000000,-3.883080000000000,37.266930000000002,2.347270000000000,48.920169999999999,999.000000000000000,652165.735,6869106.868
-2.244640000000000,-2.244640000000000,-3.247840000000000,-5.627860000000000,-6.490600000000000,-5.084260000000000,-3.934260000000000,-2.829480000000000,-2.066380000000000,-0.874120000000000,0.705140000000000,2.578110000000000,2.530640000000000,3.211620000000000,5.032130000000000,5.775990000000000,3.550220000000000,0.807140000000000,1.262330000000000,-0.665900000000000,-1.604490000000000,-1.529730000000000,-1.973910000000000,-2.415440000000000,-3.121920000000000,-4.207820000000000,-4.751950000000000,-4.773960000000000,-5.193000000000000,-5.069660000000000,-3.823870000000000,-3.887410000000000,37.725960000000001,2.355810000000000,48.920160000000003,999.000000000000000,652791.552,6869100.616
-2.066570000000000,-2.066570000000000,-2.818170000000000,-5.499220000000000,-6.397200000000000,-5.172120000000000,-4.035270000000000,-2.907580000000000,-2.074630000000000,-0.894730000000000,0.749560000000000,2.565210000000000,2.509340000000000,3.206360000000000,5.057580000000000,5.795210000000000,3.526590000000000,0.812380000000000,1.326400000000000,-0.646100000000000,-1.596600000000000,-1.649750000000000,-1.904400000000000,-2.419960000000000,-3.210910000000000,-4.156620000000000,-4.744730000000000,-4.802590000000000,-5.217240000000000,-5.090990000000000,-3.823750000000000,-3.887360000000000,37.992040000000003,2.364360000000000,48.920150000000000,999.000000000000000,653418.103,6869094.426
-1.986280000000000,-1.986280000000000,-2.983270000000000,-5.191160000000000,-6.555170000000000,-5.261090000000000,-4.044580000000000,-2.974020000000000,-2.078330000000000,-0.918220000000000,0.775120000000000,2.589760000000000,2.502460000000000,3.214620000000000,5.074150000000000,5.806700000000000,3.453740000000000,0.892540000000000,1.348760000000000,-0.694670000000000,-1.526190000000000,-1.805550000000000,-1.858930000000000,-2.437850000000000,-3.241440000000000,-4.151960000000000,-4.735210000000000,-4.790510000000000,-5.235070000000000,-5.113170000000000,-3.828050000000000,-3.891730000000000,38.309379999999997,2.372900000000000,48.920140000000004,999.000000000000000,654043.922,6869088.310
-1.793600000000000,-1.793600000000000,-2.801340000000000,-5.365100000000000,-6.400680000000000,-5.288230000000000,-4.123740000000000,-3.043530000000000,-2.094190000000000,-0.923020000000000,0.842730000000000,2.629240000000000,2.491440000000000,3.149040000000000,5.093930000000000,5.804900000000000,3.401040000000000,1.000490000000000,1.348240000000000,-0.811250000000000,-1.375400000000000,-1.916990000000000,-1.898640000000000,-2.383030000000000,-3.225490000000000,-4.178420000000000,-4.746380000000000,-4.813510000000000,-5.240800000000000,-5.128660000000000,-3.837090000000000,-3.900850000000000,38.865839999999999,2.381450000000000,48.920119999999997,999.000000000000000,654670.465,6869081.144
