WT_1,WT_2,WT_3,WT_4,WT_5,WT_6,WT_7,WT_8,WT_9,WT_10,WT_11,WT_12,WT_13,WT_14,WT_15,WT_16,WT_17,WT_18,WT_19,WT_20,WT_21,WT_22,WT_23,WT_24,WT_25,WT_26,WT_27,WT_28,WT_29,WT_30,WT_31,WT_32,ZS,longitude,latitude,BLD_HEIGHT,X,Y,MNT
0.00159,0.00159,0.02474,0.03217,0.04486,-0.00785,-0.08264,-0.08982,-0.0782,-0.10871,0.00946,-0.02688,-0.06133,0.09797,0.10238,-0.03534,-0.05744,0.03115,-0.04443,-0.03189,-0.04791,-0.06246,-0.13863,-0.02493,0.05586,0.06763,0.02393,-0.0328,-0.01542,0.01033,0.00238,"0",46.60595,2.32574,48.85281,19.46167,650524.023,6861630.099,36.29000
0.00681,0.00681,0.02132,0.03212,0.01794,-0.02909,-0.09373,-0.08363,-0.06662,-0.09619,0.00854,-0.05437,-0.01281,0.09079,0.12091,-0.07796,-0.06974,0.05411,-0.08079,0.01192,-0.05467,-0.00332,-0.10947,-0.02505,0.05632,0.07523,0.04704,-0.02591,-0.02115,0.00496,0.00731,"0",48.00446,2.33427,48.8528,18.82667,651149.915,6861623.676,33.79000
0.01823,0.01823,0.02109,0.01452,0.01063,-0.03448,-0.09727,-0.08592,-0.05049,-0.07837,0.03202,-0.09612,-0.00131,0.09025,0.09469,-0.11341,-0.07629,0.04612,-0.09561,0.02033,-0.00085,-0.01341,-0.00339,0.01671,0.04943,0.09143,0.06034,-0.01562,-0.0238,0.00093,0.01086,"0",47.76986,2.34281,48.85279,19.615,651776.541,6861617.315,34.09000
0.01534,0.01534,0.02073,0.03463,0.03966,0.01118,-0.04851,-0.04407,-0.01723,-0.06654,0.04234,-0.0735,-0.01117,-0.00706,0.02935,-0.08636,-0.04636,0.04066,-0.05674,0.02369,0.02713,-0.06999,-0.01639,0.03665,0.08089,0.11759,0.07075,0.00868,-0.03902,-0.01569,0.02111,"0",42.87384,2.35134,48.85278,18.92667,652402.434,6861611.028,35.00000
-0.00374,-0.00374,-0.00659,0.02024,0.04104,0.03176,-0.0162,-0.00025,0.04043,-0.02569,0.00403,-0.07375,-0.03881,-0.01641,0.01323,-0.05734,-0.00037,0.00576,-0.01856,-0.02038,0.03372,-0.07319,-0.11596,-0.02045,0.08376,0.11409,0.06897,0.02181,-0.03933,-0.02226,0.03259,"0",40.21813,2.35988,48.85277,18.25167,653029.062,6861604.802,33.20000
-0.00793,-0.00793,-0.03119,-0.00626,8e-05,-0.0074,-0.03154,0.01826,0.06281,-0.01445,-0.03365,-0.06999,-0.03553,-0.0029,0.01746,-0.02348,0.02502,-0.02123,0.00874,-0.06396,-0.00882,-0.00081,-0.09913,-0.03904,0.06168,0.08652,0.07918,0.03349,-0.0308,-0.02995,0.01861,"0",42.26577,2.36841,48.85276,17.69111,653654.957,6861598.65,37.70000
-0.0057,-0.0057,-0.00775,0.018,0.02795,-0.01425,-0.07044,-0.00871,0.04985,-0.01748,-0.05504,-0.02613,-0.01513,0.01142,0.04126,-0.00899,0.02926,-0.00863,0.03552,-0.08559,-0.05968,-0.00941,-0.04879,-0.01413,0.03458,0.04964,0.07208,0.04522,-0.00621,-0.02202,0.00372,"0",43.14012,2.37694,48.85275,16.05833,654280.852,6861592.565,34.70000
0.00026,0.00026,0.03701,0.01097,0.02297,0.01054,-0.03675,-0.08904,-0.116,-0.03461,0.02196,0.01151,-0.08105,-0.02271,-0.01187,0.01503,-0.02914,0.00813,0.00872,-0.07124,-0.12097,-0.11249,-0.04805,0.05556,0.06831,0.03692,-0.00113,-0.02441,-0.01164,0.01689,-0.00012,"0",45.19382,2.30866,48.84721,22.76,649265.303,6861018.272,36.09000
0.00238,0.00238,0.05367,0.04317,0.02403,-0.01976,-0.07828,-0.11066,-0.1364,-0.0463,0.03041,0.03382,-0.0761,0.05245,0.02085,-0.01126,-0.05279,0.03869,-0.0156,-0.02309,-0.09564,-0.09059,-0.08247,0.01261,0.05711,0.05148,0.00943,-0.03153,-0.01659,0.01095,0.00761,"0",48.63168,2.31719,48.84721,17.38833,649891.271,6861012.825,38.09000
0.00406,0.00406,0.03485,0.04999,0.04811,0.0127,-0.06061,-0.0956,-0.09921,-0.04754,0.01554,0.06867,-0.02938,0.11817,0.04526,-0.02602,-0.08037,0.01322,-0.03334,0.00319,0.02371,-0.01576,-0.07318,-0.01938,0.04351,0.05559,0.01879,-0.01597,-0.02544,0.00362,0.00877,"0",51.77679,2.32573,48.8472,19.865,650517.963,6861006.328,40.59000
